Fluorescein_6nM_1.ptu	 	 
Correlation time[ms]	G(t)[10{^-3}]	±Err [10{^-3}]
0.000275007150185905	155.018693297657	4.0276429122212
0.000325008450219706	155.886278279762	3.26232335770264
0.000375009750253507	149.11180354605	2.62994994000777
0.000425011050287307	144.729370138043	3.1439274044909
0.000475012350321108	140.141051010038	2.60550850155171
0.00055001430037181	144.891348722222	1.81507486828961
0.000650016900439411	140.92223278681	2.35710856037427
0.000750019500507013	138.794377591003	2.71947250779919
0.000850022100574615	141.00042165178	2.64018287811277
0.000950024700642217	139.266964773962	1.74964718362493
0.00105002730070982	136.380163586855	1.30995230699603
0.00115002990077742	134.871053615054	2.63473245392913
0.00125003250084502	138.750028436811	1.52047905488221
0.00135003510091262	132.147717752962	2.4319605079894
0.00145003770098023	136.585095497419	2.13807371966771
0.00160004160108163	133.720361361092	1.67300563724751
0.00180004680121683	132.245544304908	1.86116550045671
0.00200005200135203	129.213306450617	1.63671603858166
0.00220005720148724	134.358867222899	1.31299277102171
0.00240006240162244	132.550092524886	2.18431142130473
0.00260006760175765	132.928108630063	1.33501090455539
0.00280007280189285	123.923296714627	1.80336622180536
0.00300007800202805	126.923577638379	1.3271866109841
0.00320008320216326	125.261598691427	1.31262282692123
0.00340008840229846	123.184373955395	1.39786477485511
0.00370009620250127	122.77804912583	0.824139445617932
0.00410010660277167	122.103234612232	0.999584079594515
0.00450011700304208	120.453375711639	1.53314534228093
0.00490012740331249	117.718369794001	1.15744258320558
0.00530013780358289	117.143529637792	1.04640312455393
0.0057001482038533	116.231776704997	1.24356798780848
0.00610015860412371	114.791434299817	1.05031492568766
0.00650016900439411	113.841018773928	0.984278948898646
0.00690017940466452	111.831669539801	1.4811026602578
0.00730018980493493	110.576574822697	0.828261715575098
0.00790020540534054	109.06113510534	0.712280120582848
0.00870022620588135	106.736187878005	0.729858191985982
0.00950024700642217	105.078411874049	0.840801084535894
0.010300267806963	103.144878035463	0.791587610072929
0.0111002886075038	101.81350755118	0.721581982852907
0.0119003094080446	99.9340211852699	0.900059996721904
0.0127003302085854	98.5680211987138	1.19681910966954
0.0135003510091262	96.5669301176791	0.852456910344855
0.0143003718096671	93.7171099962126	0.875778552584036
0.0151003926102079	95.1502305989145	0.951309395908094
0.0163004238110191	92.6305243234266	0.637826497268532
0.0179004654121007	90.4466846870951	0.51762518492093
0.0195005070131823	88.4378941172253	0.486849668500238
0.021100548614264	86.4109811735886	0.423289325967564
0.0227005902153456	85.1324520042177	0.4996439533923
0.0243006318164272	83.4062814147554	0.69525491746934
0.0259006734175089	82.5103312879179	0.494456482112866
0.0275007150185905	80.7242398396037	0.58243283314569
0.0291007566196721	80.6142691952023	0.604884620708571
0.0307007982207537	78.8649087392505	0.743439929905388
0.0331008606223762	76.9302073646604	0.387886786583174
0.0363009438245394	74.6558935847751	0.556208434427307
0.0395010270267027	71.750302061425	0.437094903557975
0.0427011102288659	70.6286601546586	0.546353089104315
0.0459011934310292	69.5460331165299	0.523746393962265
0.0491012766331925	66.5991477364729	0.657194628096425
0.0523013598353557	65.786212770647	0.509906534770621
0.055501443037519	64.1532349923966	0.500746644370613
0.0587015262396822	61.9598919194023	0.474963940868146
0.0619016094418455	61.1605745034162	0.535652979896088
0.0667017342450904	60.0777125138405	0.436749224115575
0.0731019006494169	57.2850267030505	0.278322892235171
0.0795020670537434	55.1145070779693	0.269674438249491
0.0859022334580699	53.5047502018478	0.277002907170604
0.0923023998623964	51.554776235074	0.393092702057891
0.0987025662667229	49.6301111459126	0.307824424600952
0.105102732671049	47.5944688985141	0.297435424064815
0.111502899075376	46.1476792564091	0.306987121673248
0.117903065479702	44.5892010081705	0.316372794316586
0.124303231884029	43.7858069885836	0.24150588778894
0.133903481490519	41.9298619655255	0.308088507414676
0.146703814299172	39.7305134984588	0.246223504519809
0.159504147107825	37.4014752512368	0.325410859477223
0.172304479916478	35.9198486383094	0.254583265186278
0.185104812725131	34.1184881326725	0.288433844471401
0.197905145533784	32.6820555237888	0.271032045809624
0.210705478342437	31.2834447424442	0.280193197944308
0.22350581115109	29.6939670607042	0.268725904036513
0.236306143959743	28.8437028356101	0.320462311912293
0.249106476768396	27.599595358955	0.244486594128962
0.268306975981376	25.9837539788573	0.219436397512
0.293907641598682	24.1034401636697	0.27120860821836
0.319508307215988	22.9814132044489	0.261750230156693
0.345108972833294	21.4462392277689	0.204786843678394
0.3707096384506	20.140626358258	0.19130817282544
0.396310304067906	19.2806156784893	0.180612774581084
0.421910969685212	18.1643307061036	0.212627443279318
0.447511635302518	17.1172714719828	0.166560289331605
0.473112300919824	16.4411596276609	0.17721073339263
0.49871296653713	15.57482990737	0.191820480862435
0.537113964963089	14.4085231941934	0.120855531472714
0.588315296197701	13.2591358429119	0.153345788529413
0.639516627432313	12.2024518101079	0.10571653476059
0.690717958666925	11.194842113518	0.106857267391969
0.741919289901537	10.4814389907686	0.165630408327299
0.79312062113615	9.86254990542299	0.157904384374472
0.844321952370762	9.23450088081154	0.188707986597508
0.895523283605374	8.68486980179279	0.125804472448127
0.946724614839986	8.38192241987562	0.140480784840728
0.997925946074598	7.71364110278151	0.157762256298958
1.07472794292652	7.15820883928633	0.126759502739755
1.17713060539574	6.45251886794814	0.123261131603506
1.27953326786496	5.92462902310757	0.169908370722253
1.38193593033419	5.34092555390395	0.18138097892116
1.48433859280341	5.1456213258347	0.127263249038928
1.58674125527264	4.83037915603482	0.164600209250235
1.68914391774186	4.33089333477558	0.114904208439342
1.79154658021109	4.19532643985968	0.0965819840870391
